26.649677,3.100229
30.922830,7.270007
30.471915,7.871943
32.558467,7.979882
26.705133,7.095650
23.286981,8.505084
33.160065,0.682551
29.525164,6.607627
34.251884,5.530485
39.042791,10.136739
34.933803,11.645870
45.239189,32.675961
54.144076,66.767083
17.082325,2.184510
22.973691,11.292611
23.075407,3.511167
27.609099,15.026285
21.780771,8.322026
28.008979,12.462847
28.111132,14.774934
14.128031,4.233850
11.506143,0.153472
58.441701,1.838165
57.800670,4.584890
11.379373,3.011801
12.162738,4.823158
13.238550,11.883270
52.496598,9.883706
48.622084,4.802855
47.340830,6.374345
44.426712,2.393930
44.063628,11.608775
43.488893,11.434427
33.364983,18.538521
23.072915,4.350279
28.735440,7.107037
28.677705,5.481678
33.758682,19.128853
37.199488,12.429912
46.020059,3.673079
42.936779,9.730620
41.968096,8.219286
39.654722,10.487555
44.740551,9.697174
35.860429,9.562712
22.519586,9.550709
31.412616,8.781739
39.337147,4.619845
31.886514,2.333906
29.105046,6.510745
29.700307,5.978218
33.239803,8.234930
19.802115,3.561999
25.988751,9.050905
33.250350,32.798807
17.624061,7.890503
30.991436,0.135708
27.535644,11.555314
25.532748,13.141198
25.881094,9.909135
24.403515,0.721060
30.392580,1.904359
23.740776,1.264295
20.119261,2.141323
31.026701,2.805880
35.327259,16.261058
34.497991,0.623453
36.572618,1.841486
36.626968,5.873874
33.884279,6.389788
26.767341,0.602268
29.485544,2.429656
21.332784,6.289654
34.520316,0.399570
34.890177,4.264286
32.775363,0.633492
40.763353,0.056206
35.306434,31.393404
17.397464,3.030683
26.300279,14.786843
