34.430900,1.637917
39.947289,3.843143
39.361578,4.162809
42.055620,4.220355
34.493885,3.753091
30.077518,4.499171
42.838225,0.360785
38.144385,3.491763
44.255708,2.920701
50.452877,5.347902
45.141544,6.145713
58.451693,17.257134
69.953103,35.274649
22.088724,1.138713
29.706832,5.884895
29.822139,1.850727
35.692932,7.630139
28.019816,3.598074
36.063685,5.539902
36.186473,6.517535
18.089788,1.592320
14.478783,0.039200
75.488422,0.972180
74.659028,2.425039
14.086673,0.575704
14.762192,0.678060
16.340833,2.166422
67.809576,5.227249
62.807498,2.539705
61.153991,3.370339
57.390658,1.265651
56.924848,6.135815
56.183923,6.042799
43.105505,9.796145
29.834330,2.270347
37.156297,3.708756
37.077092,2.872218
43.543903,8.994858
48.035406,6.055450
59.467101,1.831919
55.503453,4.921617
54.264705,4.207679
51.275871,5.385728
57.855398,5.010959
46.372101,4.938541
29.118303,4.894638
40.616151,4.493393
50.852724,2.341428
41.216762,1.177827
37.552167,3.089540
38.322701,2.842740
42.695963,3.395572
25.082428,1.037401
32.893703,2.594590
42.964984,17.312098
22.680459,3.449833
40.028558,0.071790
35.564814,6.112870
32.978084,6.951706
33.428327,5.241800
31.520186,0.381420
39.255563,1.007369
30.664161,0.668776
25.986688,1.132677
40.075628,1.484139
45.615529,7.909079
44.599159,0.327138
47.291007,0.960052
47.356699,2.999873
43.816842,3.302361
34.607529,0.315495
38.109158,1.279728
27.585059,3.277327
44.610259,0.210743
45.104406,2.239193
42.377260,0.323737
52.688643,0.029583
45.655538,16.314819
22.152836,0.991024
34.002050,7.754567
