22.777452,1.712097,0.030632
26.683193,4.029405,0.071261
26.491655,4.374460,0.076691
28.387355,4.438695,0.077562
23.355438,3.950769,0.068799
20.467819,4.742862,0.082143
28.567226,0.378080,0.006699
25.324074,3.654063,0.065094
29.116697,3.047469,0.054895
32.813522,5.557654,0.101604
29.440938,6.393141,0.116454
38.475346,18.009094,0.324206
46.280440,36.873147,0.659646
13.410088,1.143691,0.023210
18.017508,5.906685,0.120072
19.230000,1.917144,0.035454
20.377735,7.221891,0.165680
14.495817,2.961188,0.091679
18.821777,4.596104,0.137442
18.837737,5.393472,0.162887
9.052597,1.292144,0.046533
6.728757,0.031766,0.001686
50.985768,1.022657,0.017858
50.524323,2.552386,0.044473
6.127344,0.466518,0.033084
5.883395,0.549360,0.052971
7.021297,1.755557,0.130537
45.773598,5.497765,0.096063
42.222976,2.667930,0.046834
41.013055,3.537983,0.062278
38.422944,1.327919,0.023422
37.918566,6.427720,0.114048
37.334540,6.325492,0.112559
28.597779,10.249206,0.182734
18.194000,2.287092,0.046056
22.651989,3.735338,0.075260
23.008713,2.923535,0.057204
23.260015,7.687537,0.211648
26.228509,5.358072,0.137851
33.167496,1.677033,0.040717
31.501591,4.621744,0.107492
31.419362,4.051384,0.090095
29.876356,5.221727,0.114587
34.200617,4.928087,0.105040
27.371036,4.850140,0.103685
16.895661,4.724174,0.104578
23.494664,4.321830,0.096304
28.948277,2.207656,0.050988
23.320273,1.101297,0.025804
20.157422,2.660070,0.072084
20.595211,2.452030,0.066198
21.807814,2.771753,0.090609
11.960254,0.840653,0.039128
15.637960,2.102508,0.099423
28.086351,18.023794,0.327331
11.773409,2.847350,0.086959
27.244063,0.075681,0.001311
24.227637,6.445867,0.111511
22.447972,7.328809,0.126891
22.726875,5.524277,0.095772
21.403381,0.401836,0.006976
26.676310,1.061519,0.018412
20.823367,0.704586,0.012230
17.633905,1.193077,0.020727
27.152930,1.562607,0.027191
24.877039,6.984412,0.180326
27.883909,0.334287,0.006465
28.726615,0.964618,0.019556
27.298884,2.873668,0.064518
25.911440,3.248836,0.069198
21.451498,0.320930,0.006291
24.424026,1.322448,0.024663
16.723488,3.288495,0.066899
28.930558,0.218779,0.004015
28.316932,2.292835,0.044062
24.456454,0.310537,0.006955
33.582921,0.030501,0.000573
27.431192,16.264025,0.336209
10.793088,0.803115,0.033294
21.194355,7.911771,0.153729
